situation_id,situation_category,creator_thought,emotional_state,context_channel,desired_outcome,advice_strategy,core_advice_line,expanded_advice,follow_up_prompt_hint,extra_notes
CPAM_001,collaboration_tension,I don't know what to make next.,anxious,music_production,unblock_brainstorm,constraint_play,Shrink the playground: limit yourself on purpose.,Pick one constraint for this session: one mood,one tool,or one rule. Constraints reduce anxiety by shrinking decisions so you can actually play again. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use constraint_play for a music_production moment of collaboration_tension.
CPAM_002,stuck_on_idea,My collaborator and I aren't aligned.,quietly_excited,business_ideation,design_small_next_step,tiny_commitment,Promise yourself one tiny visible move,nothing more.,Commit to a step you could finish in ten to fifteen minutes. Once you complete it,you can either stop guilt-free or keep going with momentum. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use tiny_commitment for a business_ideation moment of stuck_on_idea.
CPAM_003,sharing_work_nerves,I'm scared to call this finished.,overstimulated,music_songwriting,set_kind_deadline,time_boxing,Put the idea in a short timed box,not a perfect cage.,Decide on a short,specific block of time and protect it. Knowing there is a clear stop makes it easier to start and lowers the pressure to be brilliant. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use time_boxing for a music_songwriting moment of sharing_work_nerves.
CPAM_004,low_energy,I feel too tired to be creative.,anxious,graphic_design,regain_motivation,reference_inspiration,Borrow structure from something you already like.,Choose a song,image,or piece of writing you admire. Copy its structure or rhythm loosely | not the content | as scaffolding for your own idea. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use reference_inspiration for a graphic_design moment of low_energy.
CPAM_005,overwhelmed_by_options,I have too many ideas and can't choose one.,frustrated,short_form_video,pick_one_idea_to_test,constraint_play,Shrink the playground: limit yourself on purpose.,Pick one constraint for this session: one mood,one tool,or one rule. Constraints reduce anxiety by shrinking decisions so you can actually play again. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use constraint_play for a short_form_video moment of overwhelmed_by_options.
CPAM_006,finishing_phase_anxiety,I'm scared to call this finished.,tense,visual_art,finish_current_piece,separate_draft_and_edit,Let messy draft you work,let editor you wait.,Give yourself permission to make a bad version on purpose. Editing becomes much easier and kinder when there is already something on the page. Remember that shipping a small version now often teaches you more than waiting for the perfect moment.,Ask: help me use separate_draft_and_edit for a visual_art moment of finishing_phase_anxiety.
CPAM_007,starting_new_project,I want to start but keep procrastinating.,restless,creative_writing,design_small_next_step,tiny_commitment,Promise yourself one tiny visible move,nothing more.,Commit to a step you could finish in ten to fifteen minutes. Once you complete it,you can either stop guilt-free or keep going with momentum. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use tiny_commitment for a creative_writing moment of starting_new_project.
CPAM_008,mid_project_dip,This project suddenly feels boring.,drained,music_production,reconnect_with_why,emotion_first_reflection,Name the feeling before you touch the project.,Pause and write one or two sentences about how you feel right now. Let the project respond to that feeling instead of pretending it is not there. Treat this piece like an experiment,not a final verdict on your talent.,Ask: help me use emotion_first_reflection for a music_production moment of mid_project_dip.
CPAM_009,fear_of_judgment,I'm afraid people will laugh at this.,anxious,short_form_video,reduce_pressure,audience_reframe,Imagine one kind human you are making this for.,Imagine one real or fictional person who would be delighted by this. Creating for one caring witness is less scary than imagining the whole internet. Treat this piece like an experiment,not a final verdict on your talent.,Ask: help me use audience_reframe for a short_form_video moment of fear_of_judgment.
CPAM_010,sharing_work_nerves,Posting this online makes me nervous.,tense,long_form_video,prepare_to_share,audience_reframe,Imagine one kind human you are making this for.,Imagine one real or fictional person who would be delighted by this. Creating for one caring witness is less scary than imagining the whole internet. Remember that shipping a small version now often teaches you more than waiting for the perfect moment.,Ask: help me use audience_reframe for a long_form_video moment of sharing_work_nerves.,
CPAM_011,creative_play,I want to experiment without pressure.,playful,visual_art,regain_motivation,constraint_play,Shrink the playground: limit yourself on purpose.,Pick one constraint for this session: one mood,one tool,or one rule. Constraints reduce anxiety by shrinking decisions so you can actually play again. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use constraint_play for a visual_art moment of creative_play.
CPAM_012,collaboration_tension,My collaborator and I aren't aligned.,frustrated,creative_writing,reconnect_with_why,emotion_first_reflection,Name the feeling before you touch the project.,Pause and write one or two sentences about how you feel right now. Let the project respond to that feeling instead of pretending it is not there. Remember that shipping a small version now often teaches you more than waiting for the perfect moment.,Ask: help me use emotion_first_reflection for a creative_writing moment of collaboration_tension.,
CPAM_013,time_pressure,There isn't enough time to do this properly.,anxious,music_songwriting,set_kind_deadline,time_boxing,Put the idea in a short timed box,not a perfect cage.,Decide on a short,specific block of time and protect it. Knowing there is a clear stop makes it easier to start and lowers the pressure to be brilliant. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use time_boxing for a music_songwriting moment of time_pressure.
CPAM_014,overwhelmed_by_options,I have too many ideas and can't choose one.,overstimulated,graphic_design,generate_clear_direction,reverse_brief,Flip the problem and write the weirdest opposite brief.,Write a silly or exaggerated opposite version of what you think you should do. Then scan it for one surprising angle you secretly like and keep that. Remember that shipping a small version now often teaches you more than waiting for the perfect moment.,Ask: help me use reverse_brief for a graphic_design moment of overwhelmed_by_options.,
CPAM_015,stuck_on_idea,I don't know what to make next.,calm_but_uncertain,creative_writing,unblock_brainstorm,reference_inspiration,Borrow structure from something you already like.,Choose a song,image,or piece of writing you admire. Copy its structure or rhythm loosely | not the content | as scaffolding for your own idea. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use reference_inspiration for a creative_writing moment of stuck_on_idea.
CPAM_016,low_energy,I feel too tired to be creative.,drained,short_form_video,regain_motivation,body_and_breath_break,Move your body and reset your nervous system first.,Stand up,stretch,breathe slowly | or walk for a few minutes. A calmer body often gives you access to clearer | friendlier creative choices. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use body_and_breath_break for a short_form_video moment of low_energy.
CPAM_017,finishing_phase_anxiety,I'm scared to call this finished.,restless,visual_art,finish_current_piece,celebrate_micro_wins,Treat every tiny forward step as a win screen.,List the small things you have already done on this project. Mark today’s next step as one more bead on that string instead of a test of your worth. Remember that shipping a small version now often teaches you more than waiting for the perfect moment.,Ask: help me use celebrate_micro_wins for a visual_art moment of finishing_phase_anxiety.,
CPAM_018,fear_of_judgment,I'm afraid people will laugh at this.,tense,lyrics_writing,reduce_pressure,separate_draft_and_edit,Let messy draft you work,let editor you wait.,Give yourself permission to make a bad version on purpose. Editing becomes much easier and kinder when there is already something on the page. Treat this piece like an experiment,not a final verdict on your talent. | Ask: help me use separate_draft_and_edit for a lyrics_writing moment of fear_of_judgment.
CPAM_019,starting_new_project,I want to start but keep procrastinating.,anxious,business_ideation,design_small_next_step,tiny_commitment,Promise yourself one tiny visible move,nothing more.,Commit to a step you could finish in ten to fifteen minutes. Once you complete it,you can either stop guilt-free or keep going with momentum. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use tiny_commitment for a business_ideation moment of starting_new_project.
CPAM_020,mid_project_dip,This project suddenly feels boring.,quietly_excited,music_production,reconnect_with_why,reference_inspiration,Borrow structure from something you already like.,Choose a song,image,or piece of writing you admire. Copy its structure or rhythm loosely | not the content | as scaffolding for your own idea. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use reference_inspiration for a music_production moment of mid_project_dip.
...,,,,,,,,,,
CPAM_299,creative_play,I want to experiment without pressure.,playful,visual_art,regain_motivation,reference_inspiration,Borrow structure from something you already like.,Choose a song,image,or piece of writing you admire. Copy its structure or rhythm loosely | not the content | as scaffolding for your own idea. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use reference_inspiration for a visual_art moment of creative_play.
CPAM_300,collaboration_tension,My collaborator and I aren't aligned.,tense,creative_writing,reconnect_with_why,celebrate_micro_wins,Treat every tiny forward step as a win screen.,List the small things you have already done on this project. Mark today’s next step as one more bead on that string instead of a test of your worth. Remember that shipping a small version now often teaches you more than waiting for the perfect moment.,Ask: help me use celebrate_micro_wins for a creative_writing moment of collaboration_tension.,
CPAM_021,stuck_on_idea,I keep looping the same four bars and nothing moves,frustrated,music_production,unstick_concept,sandbox_session,Open a no rules sandbox session,Duplicate the project or start a fresh file and allow yourself to break every rule. Try strange sounds reckless edits and playful chaos until one small detail makes you curious again.,Ask: help me use sandbox_session for a music_production moment of stuck_on_idea.,
CPAM_022,starting_new_project,The blank DAW session makes me freeze,anxious,music_production,start_session,tiny_commitment,Commit to one sound not a whole song,Choose one drum pattern one chord or one texture. Loop it for ten minutes and let your hands explore without chasing a finished track.,Ask: help me use tiny_commitment for a music_production moment of starting_new_project.,
CPAM_023,finishing_phase_anxiety,I keep tweaking the mix and never printing it,tense,music_production,finish_current_piece,versioning_mindset,Lock this as Version One and move on,Print a bounce and label it clearly as Version One. Promise yourself you can always make Version Two later which makes it easier to call this round good enough.,Ask: help me use versioning_mindset for a music_production moment of finishing_phase_anxiety.,
CPAM_024,mid_project_dip,The song was exciting yesterday now it feels flat,drained,music_songwriting,reconnect_with_why,emotion_first_reflection,Ask why this song mattered when you started,Write a short note to yourself describing what spark made you begin this song. Use that spark as a compass for one new change you will try today.,Ask: help me use emotion_first_reflection for a music_songwriting moment of mid_project_dip.,
CPAM_025,fear_of_judgment,I worry these lyrics sound childish,anxious,lyrics_writing,reduce_pressure,separate_draft_and_edit,Let the childish draft exist on purpose,Give yourself permission to write the most exaggerated childish version first. Later you can calmly trim and reshape lines without attacking your own voice.,Ask: help me use separate_draft_and_edit for a lyrics_writing moment of fear_of_judgment.,
