gtr_id,source_genre,target_genre,core_elements_keep,elements_to_change,tempo_shift_hint,groove_shift_hint,instrumentation_focus,vocal_style_shift,lyrical_tone_shift,notes
GTR-0001,reggae,alt_rock,retain_melodic_center_and_chorus_outline,adjust_drum_intensity_and_guitar_density,bpm_similar,tighten_backbeat_and_add_fills,driven_guitars_and_focused_bass,from_easygoing_lines_to_assertive_attack,from_casual_view_to_goal_oriented_angle,retain_subtle_offbeat_elements_in_background
GTR-0002,lofi_pop,alt_rock,preserve_hook_and_core_emotional_theme,update_drum_energy_and_guitar_layers,slightly_faster,move_to_tighter_rock_backbeat,overdriven_or_chorus_guitars_with_snare_focus,from_soft_delivery_tofirm_projection,from_diary_like_voice_to_stage_ready_tone,keep_introspective_content_inside_alt_rock_frame
GTR-0003,southern_rock_blues,lofi_pop,preserve_emotional_hook_and_melodic_spine,update_drum_and_guitar_intensity,slightly_slower,soft_backbeat_with_loose_hat,muted_guitars_and_subtle_lofi_kick,from_full_projection_to_soft_head_voice,from_public_confession_to_private_thought,retain_blues_nuance_while_supporting_loop_friendly_snippets
GTR-0004,reggae,cumbia,maintain_repetitive_hook_and_bounce_memory,update_percussion_layout_and_bass_drive,slightly_faster,add_clave_and_extra_percussion,shakers_congas_and_bass,from_relaxed_tone_to_energetic_projection,from_background_vibe_to_lead_anthem,keep_lyrics_simple_for_chant_and_dance
GTR-0005,southern_rock_blues,lofi_pop,retain_emotional_hook_and_melodic_spine,modify_drum_and_guitar_intensity,slightly_slower,soft_backbeat_with_swing,soft_guitars_piano_and_lofi_drums,from_stage_belt_to_close_mic_intimacy,from_big_statement_to_quiet_reflection,retain_blues_nuance_while_supporting_loop_friendly_snippets
GTR-0006,alt_rock,southern_rock_blues,keep_main_riff_and_chorus_focus,reshape_guitar_tone_and_drum_swing,slightly_slower,loosen_backbeat_and_add_fills,slide_guitar_and_supporting_organ,from_cool_delivery_toearthier_expression,from_modern_frames_toclassic_barroom_angle,retain_modern_melodic_ideas_while_shiftingtoward_blues
GTR-0007,lofi_pop,southern_rock_blues,retain_simple_hook_and_emotional_seed,refocus_drum_character_and_guitar_weight,slightly_faster,add_swung_backbeat,slide_guitar_with_supporting_organ,from_intimate_tone_toroom_filling_delivery,from_bedroom_scene_to_barroom_scene,retain_intimate_lyric_angles_while_scaling_energy
GTR-0008,cumbia,southern_rock_blues,retain_dance_hook_and_repetitive_refrain,update_percussion_stack_to_rock_kit,bpm_similar,move_to_swung_backbeat,crunch_guitars_and_full_drums,from_party_chant_to_story_voice,from_group_narrative_to_personal_account,maintain_forward_motion_in_chorus_sections
GTR-0009,southern_rock_blues,cumbia,preserve_hook_and_narrative_refrain,update_percussion_stack_and_bass_pattern,slightly_faster,add_forward_cumbia_groove,percussion_led_band_with_supporting_guitar,from_gravelly_to_firmer_clean_tone,from_somber_angle_to_optimistic_release,keep_story_details_but_align_phrasing_with_dance_context
GTR-0010,reggae,cumbia,keep_repetitive_hook_and_bounce_memory,modify_percussion_layout_and_bass_drive,slightly_faster,tighten_groove_for_party_feel,percussion_led_band_with_support_guitar,from_laid_back_phrasing_to_more_punctuated_delivery,from_chill_relaxation_to_full_party_mood,keep_lyrics_simple_for_chant_and_dance
GTR-0011,alt_rock,reggae,maintain_hook_shape_and_chorus_length,reshape_drum_pattern_and_guitar_comping,slightly_slower,soften_backbeat_and_emphasize_offbeats,light_percussion_with_stab_keys,from_urgent_delivery_toeasygoing_line,from_tension_forward_toopen_space,keep_alt_progressions_while_simplifying_rhythm
GTR-0012,reggae,lofi_pop,retain_hook_motif_and_chilled_center,modify_drum_texture_and_mix_space,slightly_slower,soften_backbeat_and_keep_subtle_swing,muted_kicks_snares_and_ambient_keys,from_clear_attack_tosoft_intimate_tone,from_social_scene_to_personal_moment,retain_loop_friendly_refrain_for_streaming_clips
GTR-0013,alt_rock,cumbia,preserve_chorus_hook_and_melodic_center,update_drum_groove_and_percussion_role,slightly_faster,add_clave_and_party_forward_feel,percussion_and_guitars_sharing_rhythm,from_inward_delivery_tooutward_celebration,from_personal_frame_to_group_frame,retain_alt_harmonic_color_inside_cumbia_groove
