edge_id,from_atom_id,to_atom_id,relation_type,relation_subtype,weight,confidence,source_rule_ids,notes
edge:vm_cpa:...:A_guided_by_B,vm_cpa:...:A,vm_cpa:...:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_001:A_guided_by_B,vm_cpa:CPAM_001:A,vm_cpa:CPAM_001:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_002:A_guided_by_B,vm_cpa:CPAM_002:A,vm_cpa:CPAM_002:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_003:A_guided_by_B,vm_cpa:CPAM_003:A,vm_cpa:CPAM_003:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_004:A_guided_by_B,vm_cpa:CPAM_004:A,vm_cpa:CPAM_004:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_005:A_guided_by_B,vm_cpa:CPAM_005:A,vm_cpa:CPAM_005:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_006:A_guided_by_B,vm_cpa:CPAM_006:A,vm_cpa:CPAM_006:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_007:A_guided_by_B,vm_cpa:CPAM_007:A,vm_cpa:CPAM_007:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_008:A_guided_by_B,vm_cpa:CPAM_008:A,vm_cpa:CPAM_008:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_009:A_guided_by_B,vm_cpa:CPAM_009:A,vm_cpa:CPAM_009:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_010:A_guided_by_B,vm_cpa:CPAM_010:A,vm_cpa:CPAM_010:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_011:A_guided_by_B,vm_cpa:CPAM_011:A,vm_cpa:CPAM_011:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_012:A_guided_by_B,vm_cpa:CPAM_012:A,vm_cpa:CPAM_012:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_013:A_guided_by_B,vm_cpa:CPAM_013:A,vm_cpa:CPAM_013:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_014:A_guided_by_B,vm_cpa:CPAM_014:A,vm_cpa:CPAM_014:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_015:A_guided_by_B,vm_cpa:CPAM_015:A,vm_cpa:CPAM_015:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_016:A_guided_by_B,vm_cpa:CPAM_016:A,vm_cpa:CPAM_016:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_017:A_guided_by_B,vm_cpa:CPAM_017:A,vm_cpa:CPAM_017:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_018:A_guided_by_B,vm_cpa:CPAM_018:A,vm_cpa:CPAM_018:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_019:A_guided_by_B,vm_cpa:CPAM_019:A,vm_cpa:CPAM_019:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_020:A_guided_by_B,vm_cpa:CPAM_020:A,vm_cpa:CPAM_020:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_021:A_guided_by_B,vm_cpa:CPAM_021:A,vm_cpa:CPAM_021:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_022:A_guided_by_B,vm_cpa:CPAM_022:A,vm_cpa:CPAM_022:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_023:A_guided_by_B,vm_cpa:CPAM_023:A,vm_cpa:CPAM_023:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_024:A_guided_by_B,vm_cpa:CPAM_024:A,vm_cpa:CPAM_024:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_025:A_guided_by_B,vm_cpa:CPAM_025:A,vm_cpa:CPAM_025:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_026:A_guided_by_B,vm_cpa:CPAM_026:A,vm_cpa:CPAM_026:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_027:A_guided_by_B,vm_cpa:CPAM_027:A,vm_cpa:CPAM_027:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_028:A_guided_by_B,vm_cpa:CPAM_028:A,vm_cpa:CPAM_028:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_029:A_guided_by_B,vm_cpa:CPAM_029:A,vm_cpa:CPAM_029:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_030:A_guided_by_B,vm_cpa:CPAM_030:A,vm_cpa:CPAM_030:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_031:A_guided_by_B,vm_cpa:CPAM_031:A,vm_cpa:CPAM_031:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_032:A_guided_by_B,vm_cpa:CPAM_032:A,vm_cpa:CPAM_032:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_033:A_guided_by_B,vm_cpa:CPAM_033:A,vm_cpa:CPAM_033:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_034:A_guided_by_B,vm_cpa:CPAM_034:A,vm_cpa:CPAM_034:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_035:A_guided_by_B,vm_cpa:CPAM_035:A,vm_cpa:CPAM_035:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_036:A_guided_by_B,vm_cpa:CPAM_036:A,vm_cpa:CPAM_036:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_037:A_guided_by_B,vm_cpa:CPAM_037:A,vm_cpa:CPAM_037:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_038:A_guided_by_B,vm_cpa:CPAM_038:A,vm_cpa:CPAM_038:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_039:A_guided_by_B,vm_cpa:CPAM_039:A,vm_cpa:CPAM_039:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_040:A_guided_by_B,vm_cpa:CPAM_040:A,vm_cpa:CPAM_040:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_041:A_guided_by_B,vm_cpa:CPAM_041:A,vm_cpa:CPAM_041:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
