vps_id,pattern_label,signal_type,signal_description,platform_context,strength_indicator,risk_indicator,recommended_use,example_usage_hint,notes
VPS-0001,sticky_chant_hook,lyrical,short_phrase_repeated_four_times,tiktok,high,overused_trope,use_once_per_song,one_line_chanted_over_beat,works_best_with_simple_rhythm
VPS-0002,relatable_one_liner,lyrical,everyday_phrase_with_twist,cross_platform,high,cringe_risk,center_the_hook,short_observation_that_flips_expectation,keep_language_clear_and_simple
VPS-0003,beat_switch_moment,production,clear_switch_in_groove_or_energy,tiktok,high,hard_to_execute,keep_as_b_section,drop_to_half_time_or_double_time,signal_visual_transition
VPS-0004,slow_burn_build,structure,gradual_increase_before_payoff,streaming,medium,listener_dropout,use_in_longer_tracks,add_layer_each_section,not_ideal_for_super_short_clips
VPS-0005,call_response_pattern,lyrical,question_answer_or_lead_reply,both,medium,overcrowded_lines,center_the_hook,one_voice_leads_crowd_replies,great_for_live_feel
VPS-0006,signature_sound_tag,production,unique_sound_or_fx_that_repeats,cross_platform,high,annoyance_if_overused,use_once_per_section,short_sfx_before_hook,helps_brand_recognition
VPS-0007,contrast_section,structure,soft_to_loud_or_dark_to_bright_switch,both,high,whiplash_if_misaligned,use_as_bridge_or_pre_chorus,quiet_verse_into_explosive_hook,emphasize_emotional_shift
VPS-0008,meme_friendly_line,lyrical,line_that_invites_caption_or_remix,tiktok,high,context_misuse,keep_as_single_strong_line,one_sentence_that_fits_many_situations,avoid_sensitive_topics
VPS-0009,emotional_drop_hook_a,structure,hook_that_hits_after_short_silence,tiktok,high,execution_risk,center_the_hook,use_pause_then_hook_for_tiktok,adds_strong_contrast
VPS-0010,emotional_drop_hook_b,structure,hook_that_hits_after_short_silence,streaming,medium,listener_dropout,use_in_pre_chorus,use_pause_before_lift_for_streaming,better_in_longer_tracks
VPS-0011,emotional_drop_hook_c,structure,hook_that_hits_after_short_silence,cross_platform,high,overused_trope,use_in_intro,short_drop_out_then_hook_for_replay,works_best_with_clear_rhythm
VPS-0012,emotional_drop_hook_d,structure,hook_that_hits_after_short_silence,both,medium,context_misuse,use_as_bridge,use_pause_to_reset_energy_for_both,good_for_emotional_songs
VPS-0013,emotional_drop_hook_e,structure,hook_that_hits_after_short_silence,tiktok,high,noise_clutter,center_the_hook,use_single_big_drop_for_clip,keep_other_elements_minimal
VPS-0014,emotional_drop_hook_f,structure,hook_that_hits_after_short_silence,streaming,medium,execution_risk,use_in_outro,use_pause_then_final_line_for_streaming,strong_for_album_cuts
VPS-0015,whispered_adlib_a,production,soft_whisper_layer_supporting_line,tiktok,high,cringe_risk,center_the_hook,use_whisper_on_last_word_for_tiktok,can_be_very_intimate
VPS-0016,whispered_adlib_b,production,soft_whisper_layer_supporting_line,streaming,medium,noise_clutter,use_in_pre_chorus,use_sparse_whispers_for_tension,works_best_with_space
VPS-0017,whispered_adlib_c,production,soft_whisper_layer_supporting_line,cross_platform,medium,context_misuse,use_in_intro,use_single_whisper_to_set_mood,avoid_heavy_stack
VPS-0018,whispered_adlib_d,production,soft_whisper_layer_supporting_line,both,high,overused_trope,use_as_bridge,build_whispers_then_release,good_for_dark_vibes
VPS-0019,whispered_adlib_e,production,soft_whisper_layer_supporting_line,tiktok,medium,listener_dropout,use_in_verse_section,use_short_whisper_punctuations,do_not_overload_mix
VPS-0020,whispered_adlib_f,production,soft_whisper_layer_supporting_line,streaming,medium,execution_risk,use_in_outro,use_trail_of_whispers_to_close,subtlety_is_key
VPS-0021,octave_jump_line_a,lyrical,melody_leaps_up_one_octave_on_word,tiktok,high,pitch_strain,center_the_hook,hit_octave_jump_on_title_word,creates_big_moment
VPS-0022,octave_jump_line_b,lyrical,melody_leaps_up_one_octave_on_word,streaming,medium,execution_risk,use_in_pre_chorus,use_jump_to_signal_upcoming_hook,strong_for_pop_vocals
VPS-0023,octave_jump_line_c,lyrical,melody_leaps_up_one_octave_on_word,cross_platform,high,overused_trope,use_in_intro,tease_jump_then_resolve_later,keep_it_rare
VPS-0024,octave_jump_line_d,lyrical,melody_leaps_up_one_octave_on_word,both,medium,listener_dropout,use_as_bridge,use_jump_on_final_bridge_line,works_in_ballads
VPS-0025,octave_jump_line_e,lyrical,melody_leaps_up_one_octave_on_word,tiktok,high,cringe_risk,center_the_hook,use_single_clean_jump_in_clip,avoid_multiple_jumps
VPS-0026,octave_jump_line_f,lyrical,melody_leaps_up_one_octave_on_word,streaming,medium,execution_risk,use_in_outro,final_octave_jump_before_fade,intense_but_satisfying
VPS-0027,micro_phrase_loop_a,production,one_bar_phrase_looped_throughout,tiktok,high,overused_trope,center_the_hook,loop_catchy_bar_for_reels,very_platform_friendly
VPS-0028,micro_phrase_loop_b,production,one_bar_phrase_looped_throughout,streaming,medium,listener_dropout,use_in_pre_chorus,use_loop_then_add_layers,good_for_dance_tracks
VPS-0029,micro_phrase_loop_c,production,one_bar_phrase_looped_throughout,cross_platform,high,noise_clutter,use_in_intro,start_with_loop_then_open,keep_sound_clean
