vpr_id,criterion,criterion_description,weight_level,platform_focus,low_score_signature,high_score_signature,red_flag_if_missing,uplift_strategies,notes
VPR-0001,hook_clarity,how_easy_it_is_to_understand_the_main_idea,critical,both,listener_cannot_tell_what_song_is_about,one_line_summaries_song_feel,forgettable_clip,shorten_hook_phrase_and_remove_extra_images,aim_for_one_clear_image_or_statement
VPR-0002,replay_value,how_much_people_want_to_hear_it_again,high,tiktok,no_specific_moment_worth_repeating,obvious_line_or_sound_to_replay,scrolled_past,add_surprising_word_or_rhythm_and_emphasize_it,loop_friendly_structure_helps
VPR-0003,emotional_punch,intensity_of_feeling_delivered_in_short_time,high,both,emotion_feels_flat_or_generic,clear_feeling_hit_in_one_or_two_lines,no_share_motive,sharpen_emotional_angle_and_cut_filler,focus_on_one_specific_situation
VPR-0004,meme_potential,how_easily_it_can_be_used_in_different_contexts,medium,tiktok,too_specific_to_single_story,relatable_line_fitting_many_scenarios,limited_spread_beyond_niche,broaden_language_and_remove_true_names,use_open_ended_phrases
VPR-0005,originality,how_distinct_it_feels_from_existing_trends,high,both,feels_like_copy_of_recent_viral_clip,recognizable_but_fresh_take_on_pattern,viewer_calls_it_ripoff,change_imagery_rhythm_or_structure,lean_into_uncommon_combination
VPR-0006,singability,how_easy_it_is_to_sing_orchant_along,medium,both,awkward_wording_or_pacing,comfortable_syllable_flow,low_audience_participation,simplify_syllable_count_and_rhythm,align_stresses_with_beat
VPR-0007,loop_seam,how_cleanly_clip_can_loop_without_jarring_end,medium,tiktok,noticeable_cut_ordead_space,clip_feels_like_infinite_circle,clip_feels_one_time_only,adjust_start_and_end_so_first_and_last_beat_match,write_hook_line_that_wraps_around
VPR-0008,trend_alignment,how_well_it_sits_near_current_trends_without_copying,medium,tiktok,completely_disconnected_from_current_vibes,recognizable_family_but_twisted_to_own_thing,harder_to_get_initial_pickup,borrow_one_element_from_trend_andchange_rest,watch_for_overuse_of_any_single_trope
VPR-0009,verse_clarity,verse_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_verse_clarity,strong_and_clear_verse_clarity,verse_clarity_not_obvious_in_clip,refine_verse_execution_and_boost_clarity,auto_generated_verse_clarity_metric
VPR-0010,verse_impact,verse_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_verse_impact,strong_and_clear_verse_impact,verse_impact_not_obvious_in_clip,refine_verse_execution_and_boost_impact,auto_generated_verse_impact_metric
VPR-0011,verse_memorability,verse_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_verse_memorability,strong_and_clear_verse_memorability,verse_memorability_not_obvious_in_clip,refine_verse_execution_and_boost_memorability,auto_generated_verse_memorability_metric
VPR-0012,verse_originality,verse_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_verse_originality,strong_and_clear_verse_originality,verse_originality_not_obvious_in_clip,refine_verse_execution_and_boost_originality,auto_generated_verse_originality_metric
